movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres
avatar,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi
pirates of the caribbean: at world's end,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
spectre,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller
the dark knight rises,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller
star wars: episode vii - the force awakens            ,Doug Walker,Doug Walker,Rob Walker,unknown,Documentary
john carter,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi
spider-man 3,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance
tangled,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance
avengers: age of ultron,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi
harry potter and the half-blood prince,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery
batman v superman: dawn of justice,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi
superman returns,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi
quantum of solace,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure
pirates of the caribbean: dead man's chest,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
the lone ranger,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western
man of steel,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi
the chronicles of narnia: prince caspian,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy
the avengers,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi
pirates of the caribbean: on stranger tides,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy
men in black 3,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi
the hobbit: the battle of the five armies,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
the amazing spider-man,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy
robin hood,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History
the hobbit: the desolation of smaug,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
