movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,comb
avatar,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
pirates of the caribbean: at world's end,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
spectre,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
the dark knight rises,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
star wars: episode vii - the force awakens            ,Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,Doug Walker Rob Walker unknown Doug Walker Documentary
john carter,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi
tangled,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
avengers: age of ultron,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
harry potter and the half-blood prince,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
batman v superman: dawn of justice,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi
superman returns,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
quantum of solace,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
